,User,Day,freq_day
0,user1001,2022-06-20,1
1,user1001,2022-06-22,52
2,user1001,2022-06-23,64
3,user1001,2022-06-24,19
4,user1001,2022-06-25,11
5,user1001,2022-06-26,13
6,user1001,2022-06-27,10
7,user1001,2022-06-28,11
8,user1001,2022-06-29,81
9,user1001,2022-06-30,4
10,user1001,2022-07-01,3
11,user1001,2022-07-05,1
12,user1001,2022-07-07,1
13,user1001,2022-07-12,4
14,user1001,2022-07-22,11
15,user1001,2022-07-25,3
16,user1001,2022-07-26,19
17,user1001,2022-07-27,40
18,user1001,2022-07-28,26
19,user1001,2022-07-29,9
20,user1001,2022-07-30,16
21,user1001,2022-07-31,30
22,user1001,2022-08-01,169
23,user1001,2022-08-02,55
24,user1001,2022-08-03,65
25,user1001,2022-08-04,21
26,user1001,2022-08-05,5
27,user1001,2022-08-06,10
28,user1001,2022-08-07,6
29,user1001,2022-08-08,47
30,user1001,2022-08-09,1
31,user1001,2022-08-10,5
32,user1001,2022-08-12,2
33,user1001,2022-08-13,7
34,user1001,2022-08-14,8
35,user1001,2022-08-15,5
36,user1001,2022-08-16,60
37,user1001,2022-08-17,29
38,user1001,2022-08-18,6
39,user1001,2022-08-19,6
40,user1001,2022-08-21,10
41,user1001,2022-08-22,11
42,user1001,2022-08-23,4
43,user1001,2022-08-24,4
44,user1001,2022-08-25,7
45,user1001,2022-08-26,6
46,user1001,2022-08-27,6
47,user1001,2022-08-28,8
48,user1001,2022-08-29,6
49,user1001,2022-08-30,2
50,user1001,2022-08-31,1
51,user1001,2022-09-01,1
52,user1001,2022-09-02,3
53,user1001,2022-09-03,11
54,user1001,2022-09-04,3
55,user1001,2022-09-05,1
56,user1001,2022-09-06,7
57,user1001,2022-09-07,1
58,user1001,2022-09-09,9
59,user1001,2022-09-10,9
60,user1001,2022-09-21,1
61,user1001,2022-09-22,1
62,user1001,2022-10-28,1
63,user1001,2022-11-27,2
64,user1002,2022-06-20,61
65,user1002,2022-06-21,683
66,user1002,2022-06-22,398
67,user1002,2022-06-23,354
68,user1002,2022-06-24,195
69,user1002,2022-06-25,397
70,user1002,2022-06-26,415
71,user1002,2022-06-27,370
