,User,Month,freq_month
0,user1001,2022-06,266
1,user1001,2022-07,163
2,user1001,2022-08,572
3,user1001,2022-09,47
4,user1001,2022-10,1
5,user1001,2022-11,2
6,user1002,2022-06,4111
7,user1002,2022-07,2169
8,user1002,2022-08,2207
9,user1002,2022-11,1
10,user1003,2022-06,231
11,user1003,2022-07,158
12,user1003,2022-08,1187
13,user1003,2022-09,41
14,user1003,2022-10,6
15,user1003,2022-11,3
16,user1004,2022-06,377
17,user1004,2022-07,405
18,user1004,2022-08,136
19,user1004,2022-09,52
20,user1004,2022-10,7
21,user1004,2022-11,7
22,user1004,2022-12,5
23,user1004,2023-01,3
24,user1004,2023-02,4
25,user1005,2022-06,1491
26,user1005,2022-07,1068
27,user1005,2022-08,3974
28,user1005,2022-09,128
29,user1005,2022-10,2
30,user1005,2022-11,8
31,user1005,2023-01,3
32,user1006,2022-06,81
33,user1006,2022-07,174
34,user1006,2022-08,2795
35,user1006,2022-09,150
36,user1006,2022-10,14
37,user1006,2022-11,3
38,user1006,2023-01,23
39,user1007,2022-06,334
40,user1008,2022-06,782
41,user1008,2022-07,631
42,user1008,2022-08,1978
43,user1008,2022-09,57
44,user1012,2022-06,2440
45,user1012,2022-07,873
46,user1012,2022-08,2058
47,user1012,2022-09,256
48,user1012,2022-10,33
49,user1012,2022-11,38
50,user1017,2022-06,176
51,user1017,2022-07,124
52,user1017,2022-08,1871
53,user1017,2022-09,95
54,user1017,2022-10,1
55,user1017,2022-11,17
56,user1017,2023-01,4
57,user1031,2022-07,14
58,user1031,2022-08,289
59,user1031,2022-09,18
60,user1031,2022-10,1
61,user1031,2022-11,3
62,user1031,2023-01,10
63,user1034,2022-07,1132
64,user1034,2022-08,5687
65,user1034,2022-09,1204
66,user1034,2022-10,124
67,user1034,2022-11,213
68,user1034,2022-12,16
69,user1034,2023-01,27
70,user1034,2023-02,1
71,user1036,2022-07,281
72,user1036,2022-08,775
73,user1036,2022-09,272
74,user1036,2022-10,14
75,user1036,2022-11,19
76,user1036,2022-12,4
77,user1037,2022-07,213
78,user1037,2022-08,331
79,user1037,2022-09,4
80,user1037,2022-10,49
81,user1037,2022-11,2
82,user1042,2022-07,4
83,user1042,2022-08,376
84,user1042,2022-09,230
85,user1042,2022-10,1
86,user1051,2022-06,13
87,user1051,2022-07,241
88,user1051,2022-08,264
89,user1065,2017-12,13
90,user1065,2018-07,30
91,user1065,2018-12,17
92,user1065,2019-01,19
93,user1065,2019-04,263
94,user1065,2019-05,120
95,user1065,2019-06,29
96,user1065,2019-07,14
97,user1065,2019-09,22
98,user1065,2020-02,1
99,user1065,2020-07,2
100,user1065,2020-09,3
101,user1065,2020-11,5
102,user1094,2022-08,9
103,user1094,2022-09,45
104,user1094,2022-10,4
105,user1094,2022-11,16
106,user1094,2023-01,1
107,user1110,2017-04,111
108,user1110,2017-05,37
109,user1110,2017-08,113
110,user1110,2017-09,175
111,user1110,2017-11,113
112,user1110,2017-12,24
113,user1110,2018-01,12
114,user1110,2018-02,35
115,user1110,2018-03,7
116,user1110,2018-04,47
117,user1110,2018-08,7
118,user1110,2018-09,7
119,user1110,2018-11,8
120,user1110,2018-12,8
121,user1110,2019-01,1
122,user1110,2019-02,3
123,user1110,2019-05,1
124,user1110,2019-06,2
125,user1110,2019-07,19
126,user1110,2019-08,11
127,user1110,2019-09,28
128,user1110,2019-12,11
129,user1110,2020-02,13
130,user1110,2020-07,11
131,user1110,2020-09,5
132,user1115,2017-04,303
133,user1115,2017-05,27
134,user1115,2017-11,8
135,user1115,2017-12,18
136,user1115,2018-01,8
137,user1115,2018-02,9
138,user1115,2019-05,1
139,user1115,2019-08,6
140,user1115,2019-09,3
141,user1115,2019-10,14
142,user1115,2020-07,10
143,user1115,2021-03,3
144,user1115,2022-06,31
145,user1115,2022-08,1
146,user1115,2022-12,2
147,user1115,2023-01,9
148,user1115,2023-02,1
149,user1144,2017-04,124
150,user1144,2017-05,67
151,user1144,2017-06,27
152,user1144,2017-09,6
153,user1144,2018-02,70
154,user1144,2018-03,12
155,user1144,2018-09,7
156,user1144,2018-10,17
157,user1144,2020-07,50
158,user1146,2017-04,137
159,user1146,2017-05,2
160,user1146,2018-11,1
161,user1146,2020-07,8
162,user1149,2017-04,2
163,user1149,2018-02,1
164,user1149,2019-06,97
165,user1150,2017-04,28
166,user1150,2017-12,8
167,user1150,2018-04,1
168,user1150,2019-05,8
169,user1150,2019-07,26
170,user1150,2019-08,3
171,user1150,2020-07,2
172,user1150,2020-11,131
173,user1150,2020-12,57
174,user1150,2021-01,59
175,user1150,2022-02,3
176,user1157,2017-04,2
177,user1157,2019-10,22
178,user1157,2019-11,44
179,user1157,2020-09,19
180,user1161,2017-04,4
181,user1161,2017-05,1
182,user1161,2017-12,5
183,user1161,2018-01,6
184,user1161,2019-06,6
185,user1161,2019-07,1
186,user1161,2020-07,45
187,user1161,2020-08,16
188,user1161,2020-09,30
189,user1161,2020-10,49
190,user1161,2020-11,15
191,user1161,2020-12,118
192,user1161,2021-01,24
193,user1161,2021-02,17
194,user1161,2021-04,17
195,user1161,2021-05,5
196,user1161,2021-06,1
197,user1161,2021-08,8
198,user1161,2021-09,60
199,user1161,2021-10,38
200,user1161,2021-11,73
201,user1161,2021-12,87
202,user1161,2022-01,85
203,user1161,2022-02,44
204,user1161,2022-03,123
205,user1161,2022-04,53
206,user1161,2022-05,28
207,user1161,2022-06,125
208,user1161,2022-07,27
209,user1161,2022-08,8
210,user1161,2022-09,65
211,user1161,2022-10,125
212,user1161,2022-11,56
213,user1161,2022-12,14
214,user1161,2023-01,64
215,user1161,2023-02,48
216,user1171,2017-04,13
217,user1171,2017-05,2
218,user1171,2017-09,31
219,user1171,2017-10,4
220,user1171,2017-11,15
221,user1171,2017-12,50
222,user1171,2018-01,166
223,user1171,2018-02,193
224,user1171,2018-03,41
225,user1171,2018-04,49
226,user1171,2018-05,2
227,user1171,2018-07,15
228,user1171,2018-08,122
229,user1171,2018-09,30
230,user1171,2018-10,137
231,user1171,2018-11,105
232,user1171,2018-12,38
233,user1171,2019-01,203
234,user1171,2019-02,186
235,user1171,2019-03,22
236,user1171,2019-04,567
237,user1171,2019-05,181
238,user1171,2019-06,44
239,user1171,2019-07,41
240,user1171,2019-08,78
241,user1171,2019-09,52
242,user1171,2019-10,112
243,user1171,2019-11,160
244,user1171,2019-12,75
245,user1171,2020-01,1
246,user1171,2020-02,76
247,user1171,2020-03,79
248,user1171,2020-04,34
249,user1171,2020-07,269
250,user1171,2020-08,40
251,user1171,2020-09,38
252,user1171,2020-10,1
253,user1171,2020-11,7
254,user1171,2021-04,1
255,user1178,2017-04,130
256,user1181,2017-04,9
257,user1181,2017-05,8
258,user1181,2017-08,24
259,user1181,2017-12,55
260,user1181,2018-01,8
261,user1181,2018-02,9
262,user1181,2020-07,1
263,user1181,2020-09,2
264,user1211,2017-04,74
265,user1211,2017-09,2
266,user1211,2018-01,4
267,user1211,2018-02,2
268,user1211,2018-05,3
269,user1211,2018-08,1
270,user1211,2018-10,2
271,user1211,2019-04,18
272,user1211,2019-06,1
273,user1211,2019-07,5
274,user1211,2019-11,1
275,user1211,2020-09,5
276,user1223,2017-04,19
277,user1223,2017-09,3
278,user1223,2017-10,7
279,user1223,2017-11,5
280,user1223,2017-12,46
281,user1223,2018-01,6
282,user1223,2018-02,10
283,user1223,2018-03,2
284,user1223,2018-04,1
285,user1223,2018-05,1
286,user1223,2018-10,4
287,user1223,2019-05,14
288,user1223,2019-06,339
289,user1223,2019-07,101
290,user1223,2019-08,1
291,user1223,2019-09,8
292,user1223,2019-10,18
293,user1223,2019-11,13
294,user1223,2020-02,43
295,user1223,2020-04,1
296,user1223,2020-07,454
297,user1223,2020-08,1
298,user1223,2020-09,2
299,user1223,2020-10,1
300,user1223,2020-11,31
301,user1223,2020-12,46
302,user1223,2021-01,6
303,user1223,2021-03,1
304,user1223,2022-01,6
305,user1223,2022-05,1
306,user124,2018-01,15
307,user124,2018-02,2
308,user124,2018-03,3
309,user124,2018-12,6
310,user124,2019-01,6
311,user124,2019-02,63
312,user124,2019-03,13
313,user124,2019-04,358
314,user124,2019-05,325
315,user124,2019-06,76
316,user124,2019-07,76
317,user124,2019-08,18
318,user124,2019-09,12
319,user124,2019-10,35
320,user124,2019-11,4
321,user124,2020-02,142
322,user124,2020-03,59
323,user124,2020-04,87
324,user124,2020-05,59
325,user124,2020-06,8
326,user124,2020-07,53
327,user124,2020-08,57
328,user124,2020-09,17
329,user124,2020-10,1
330,user124,2020-12,3
331,user124,2021-02,3
332,user124,2021-03,3
333,user124,2021-04,3
334,user124,2021-10,1
335,user1259,2017-04,111
336,user1259,2017-05,4
337,user1259,2018-01,1
338,user1259,2018-02,5
339,user1259,2018-04,2
340,user1259,2018-11,4
341,user1259,2018-12,4
342,user1259,2019-11,3
343,user1264,2017-04,54
344,user1264,2019-01,1
345,user1264,2019-04,1
346,user1264,2019-05,8
347,user1264,2019-06,231
348,user1264,2019-07,137
349,user1264,2019-08,9
350,user1264,2019-09,17
351,user1264,2019-10,17
352,user1264,2020-07,5
353,user1264,2020-09,10
354,user1264,2020-10,3
355,user1264,2020-11,1
356,user1264,2021-04,1
357,user1264,2022-01,1
358,user1271,2017-04,3
359,user1271,2017-05,4
360,user1271,2017-08,2
361,user1271,2017-09,12
362,user1271,2017-10,2
363,user1271,2017-11,7
364,user1271,2017-12,36
365,user1271,2018-01,12
366,user1271,2018-02,23
367,user1271,2018-04,7
368,user1301,2017-04,1
369,user1301,2018-10,31
370,user1301,2018-11,34
371,user1301,2019-04,27
372,user1301,2019-05,15
373,user1301,2019-06,154
374,user1301,2019-07,10
375,user1301,2020-03,60
376,user1301,2020-04,41
377,user1301,2020-07,4
378,user1305,2017-04,20
379,user1305,2019-11,15
380,user1305,2020-02,5
381,user1305,2020-03,19
382,user1305,2020-10,1
383,user1305,2020-11,17
384,user1305,2020-12,11
385,user1305,2021-01,4
386,user1305,2021-02,30
387,user131,2017-04,21
388,user131,2017-05,3
389,user131,2017-08,13
390,user131,2017-09,57
391,user131,2017-10,2
392,user131,2017-11,12
393,user131,2017-12,21
394,user131,2018-01,56
395,user131,2018-02,54
396,user131,2018-03,8
397,user131,2018-04,1
398,user131,2018-06,1
399,user131,2018-07,1
400,user131,2018-08,1
401,user131,2018-09,23
402,user131,2018-10,9
403,user131,2018-11,1
404,user131,2019-01,1
405,user131,2019-02,12
406,user131,2019-03,2
407,user131,2019-04,95
408,user131,2019-05,6
409,user131,2019-06,1
410,user131,2019-07,13
411,user131,2019-08,3
412,user131,2019-09,1
413,user131,2019-10,5
414,user131,2019-11,52
415,user131,2019-12,14
416,user131,2020-02,3
417,user131,2020-03,6
418,user131,2020-04,1
419,user131,2020-06,1
420,user131,2020-07,168
421,user131,2020-08,62
422,user131,2020-09,24
423,user131,2020-10,4
424,user131,2020-11,21
425,user131,2020-12,11
426,user131,2021-01,2
427,user131,2021-04,4
428,user131,2021-08,9
429,user131,2021-09,12
430,user131,2022-02,1
431,user131,2022-05,1
432,user131,2022-12,1
433,user131,2023-02,2
434,user1320,2017-04,5
435,user1320,2017-10,101
436,user1320,2017-11,1
437,user1320,2018-08,1
438,user1320,2018-11,1
439,user1320,2018-12,27
440,user1320,2019-04,2
441,user133,2020-02,135
442,user136,2020-02,453
443,user136,2020-03,307
444,user136,2020-04,58
445,user136,2020-05,116
446,user136,2020-06,4
447,user136,2020-07,37
448,user136,2020-08,81
449,user1363,2017-08,4
450,user1363,2017-12,45
451,user1363,2018-01,21
452,user1363,2018-04,29
453,user1363,2018-07,3
454,user1363,2018-11,9
455,user1363,2019-02,3
456,user1363,2019-04,22
457,user1363,2019-05,2
458,user1363,2019-06,341
459,user1363,2019-11,5
460,user1363,2020-07,5
