,User,Week,freq_week
0,user1001,2022-25,147
1,user1001,2022-26,122
2,user1001,2022-27,2
3,user1001,2022-28,4
4,user1001,2022-29,11
5,user1001,2022-30,113
6,user1001,2022-31,355
7,user1001,2022-32,68
8,user1001,2022-33,114
9,user1001,2022-34,48
10,user1001,2022-35,32
11,user1001,2022-36,30
12,user1001,2022-38,2
13,user1001,2022-43,1
14,user1001,2022-48,2
15,user1002,2022-25,2088
16,user1002,2022-26,2035
17,user1002,2022-27,130
18,user1002,2022-28,234
19,user1002,2022-29,58
20,user1002,2022-30,1646
21,user1002,2022-31,1198
22,user1002,2022-32,662
23,user1002,2022-33,384
24,user1002,2022-34,46
25,user1002,2022-35,6
26,user1002,2022-48,1
27,user1003,2022-25,202
28,user1003,2022-26,29
29,user1003,2022-28,12
30,user1003,2022-30,117
31,user1003,2022-31,468
32,user1003,2022-32,247
33,user1003,2022-33,231
34,user1003,2022-34,161
35,user1003,2022-35,140
36,user1003,2022-36,5
37,user1003,2022-38,2
38,user1003,2022-39,9
39,user1003,2022-47,3
40,user1004,2022-25,278
41,user1004,2022-26,99
42,user1004,2022-28,9
43,user1004,2022-30,373
44,user1004,2022-31,88
45,user1004,2022-32,22
46,user1004,2022-33,42
47,user1004,2022-34,4
48,user1004,2022-35,33
49,user1004,2022-36,13
50,user1004,2022-37,2
51,user1004,2022-38,4
52,user1004,2022-39,3
53,user1004,2022-41,1
54,user1004,2022-43,6
55,user1004,2022-44,4
56,user1004,2022-45,1
57,user1004,2022-48,2
58,user1004,2022-51,5
59,user1004,2023-05,7
60,user1005,2022-25,840
61,user1005,2022-26,651
62,user1005,2022-27,8
63,user1005,2022-28,187
64,user1005,2022-29,1
65,user1005,2022-30,790
66,user1005,2022-31,1199
67,user1005,2022-32,1004
68,user1005,2022-33,931
69,user1005,2022-34,877
70,user1005,2022-35,109
71,user1005,2022-36,52
72,user1005,2022-37,1
73,user1005,2022-38,11
74,user1005,2022-43,2
75,user1005,2022-47,8
76,user1005,2023-05,3
77,user1006,2022-25,81
78,user1006,2022-30,174
79,user1006,2022-31,732
80,user1006,2022-32,529
81,user1006,2022-33,310
82,user1006,2022-34,1110
83,user1006,2022-35,176
84,user1006,2022-36,35
85,user1006,2022-37,10
86,user1006,2022-38,38
87,user1006,2022-39,5
88,user1006,2022-41,2
89,user1006,2022-43,12
90,user1006,2022-45,1
91,user1006,2022-47,2
92,user1006,2023-05,23
93,user1007,2022-25,329
94,user1007,2022-26,5
95,user1008,2022-25,426
96,user1008,2022-26,363
97,user1008,2022-27,33
98,user1008,2022-28,139
99,user1008,2022-30,352
100,user1008,2022-31,972
101,user1008,2022-32,380
102,user1008,2022-33,424
103,user1008,2022-34,225
104,user1008,2022-35,110
105,user1008,2022-36,24
106,user1012,2022-25,1078
107,user1012,2022-26,1368
108,user1012,2022-27,65
109,user1012,2022-28,182
110,user1012,2022-29,3
111,user1012,2022-30,560
112,user1012,2022-31,622
113,user1012,2022-32,626
114,user1012,2022-33,311
115,user1012,2022-34,399
116,user1012,2022-35,204
117,user1012,2022-36,162
118,user1012,2022-37,6
119,user1012,2022-38,29
120,user1012,2022-39,12
121,user1012,2022-41,10
122,user1012,2022-43,23
123,user1012,2022-44,2
124,user1012,2022-45,3
125,user1012,2022-47,26
126,user1012,2022-48,7
127,user1017,2022-25,1
128,user1017,2022-26,175
129,user1017,2022-27,1
130,user1017,2022-28,6
131,user1017,2022-30,112
132,user1017,2022-31,530
133,user1017,2022-32,457
134,user1017,2022-33,572
135,user1017,2022-34,295
136,user1017,2022-35,63
137,user1017,2022-36,34
138,user1017,2022-37,13
139,user1017,2022-38,4
140,user1017,2022-39,3
141,user1017,2022-40,1
142,user1017,2022-45,11
143,user1017,2022-47,6
144,user1017,2023-05,4
145,user1031,2022-28,8
146,user1031,2022-30,6
147,user1031,2022-31,10
148,user1031,2022-32,114
149,user1031,2022-33,19
150,user1031,2022-34,130
151,user1031,2022-35,21
152,user1031,2022-36,9
153,user1031,2022-39,5
154,user1031,2022-45,1
155,user1031,2022-47,1
156,user1031,2022-48,1
157,user1031,2023-05,10
158,user1034,2022-30,896
159,user1034,2022-31,1521
160,user1034,2022-32,1277
161,user1034,2022-33,1249
162,user1034,2022-34,1389
163,user1034,2022-35,698
164,user1034,2022-36,633
165,user1034,2022-37,79
166,user1034,2022-38,117
167,user1034,2022-39,207
168,user1034,2022-40,27
169,user1034,2022-41,33
170,user1034,2022-42,2
171,user1034,2022-43,19
172,user1034,2022-44,10
173,user1034,2022-45,44
174,user1034,2022-46,6
175,user1034,2022-47,128
176,user1034,2022-48,27
177,user1034,2022-51,14
178,user1034,2023-05,28
179,user1036,2022-30,239
180,user1036,2022-31,197
181,user1036,2022-32,64
182,user1036,2022-33,284
183,user1036,2022-34,251
184,user1036,2022-35,125
185,user1036,2022-36,106
186,user1036,2022-37,5
187,user1036,2022-38,30
188,user1036,2022-39,30
189,user1036,2022-40,1
190,user1036,2022-43,10
191,user1036,2022-45,8
192,user1036,2022-47,10
193,user1036,2022-48,2
194,user1036,2022-51,3
195,user1037,2022-30,187
196,user1037,2022-31,219
197,user1037,2022-32,50
198,user1037,2022-33,88
199,user1037,2022-39,41
200,user1037,2022-40,2
201,user1037,2022-41,7
202,user1037,2022-42,1
203,user1037,2022-43,2
204,user1037,2022-48,2
205,user1042,2022-30,3
206,user1042,2022-31,7
207,user1042,2022-33,104
208,user1042,2022-34,209
209,user1042,2022-35,115
