,User,Day,freq_day
0,user15997,2023-01-12,6
1,user15997,2023-01-13,6
2,user15997,2023-01-17,9
3,user15997,2023-01-18,13
4,user15997,2023-01-30,4
5,user15997,2023-01-31,10
6,user15997,2023-02-01,6
7,user15997,2023-02-02,2
8,user15997,2023-02-08,6
9,user15997,2023-02-09,5
10,user15997,2023-02-14,6
11,user15997,2023-02-15,16
12,user15997,2023-02-16,6
13,user15997,2023-02-21,3
14,user15997,2023-02-22,7
15,user15997,2023-02-23,1
16,user15997,2023-02-26,2
17,user15997,2023-02-27,1
18,user15997,2023-02-28,6
19,user15997,2023-03-01,2
20,user15997,2023-03-02,6
21,user15997,2023-03-03,1
22,user15999,2023-02-01,1
23,user15999,2023-02-15,2
24,user15999,2023-02-16,3
25,user15999,2023-02-26,5
26,user15999,2023-02-27,6
27,user15999,2023-02-28,3
28,user15999,2023-03-01,6
29,user15999,2023-03-02,1
30,user16001,2023-01-12,3
31,user16001,2023-01-13,7
32,user16001,2023-01-17,6
33,user16001,2023-01-18,15
34,user16001,2023-01-30,1
35,user16001,2023-01-31,3
36,user16001,2023-02-01,32
37,user16001,2023-02-02,4
38,user16001,2023-02-08,1
39,user16001,2023-02-09,7
40,user16001,2023-02-14,9
41,user16001,2023-02-15,7
42,user16001,2023-02-16,10
43,user16001,2023-02-21,4
44,user16001,2023-02-22,3
45,user16001,2023-02-23,4
46,user16001,2023-02-26,1
47,user16001,2023-02-28,2
48,user16001,2023-03-01,4
49,user16001,2023-03-02,7
50,user16001,2023-03-03,3
51,user16001,2023-03-06,5
52,user16001,2023-03-07,1
53,user16002,2022-11-02,14
54,user16002,2023-01-13,5
55,user16002,2023-01-31,15
56,user16002,2023-02-01,1
57,user16002,2023-02-08,2
58,user16002,2023-02-09,2
59,user16002,2023-02-14,1
60,user16002,2023-02-15,10
61,user16002,2023-02-16,13
62,user16002,2023-02-22,2
63,user16002,2023-02-23,14
64,user16002,2023-02-26,3
65,user16002,2023-02-28,1
66,user16002,2023-03-01,2
67,user16002,2023-03-02,14
68,user16005,2023-01-12,2
69,user16005,2023-01-15,4
70,user16005,2023-01-29,6
71,user16005,2023-02-01,3
72,user16005,2023-02-14,1
73,user16005,2023-02-15,5
74,user16005,2023-02-16,2
75,user16005,2023-02-26,1
76,user16005,2023-02-27,1
77,user16008,2023-02-01,29
78,user16008,2023-02-02,24
79,user16008,2023-02-14,17
80,user16008,2023-02-15,39
81,user16008,2023-02-16,21
82,user16008,2023-02-22,1
83,user16008,2023-02-23,3
84,user16008,2023-02-26,1
85,user16008,2023-02-27,15
86,user16010,2023-01-12,11
87,user16010,2023-01-13,2
88,user16010,2023-01-17,1
89,user16010,2023-01-18,2
90,user16010,2023-01-30,3
91,user16010,2023-01-31,4
92,user16010,2023-02-01,13
93,user16010,2023-02-02,2
94,user16010,2023-02-08,8
95,user16010,2023-02-09,4
96,user16010,2023-02-14,4
97,user16010,2023-02-15,10
98,user16010,2023-02-16,6
99,user16010,2023-02-21,13
100,user16010,2023-02-22,9
101,user16010,2023-02-23,7
102,user16010,2023-02-26,5
103,user16010,2023-02-28,10
104,user16010,2023-03-01,3
105,user16010,2023-03-02,8
106,user16010,2023-03-06,10
107,user16010,2023-03-07,5
108,user16011,2022-11-02,2
109,user16011,2023-01-12,1
110,user16011,2023-01-17,1
111,user16011,2023-01-18,3
112,user16011,2023-01-30,5
113,user16011,2023-01-31,25
114,user16011,2023-02-01,7
115,user16011,2023-02-08,2
116,user16011,2023-02-09,4
117,user16011,2023-02-14,2
118,user16011,2023-02-15,7
119,user16011,2023-02-16,7
120,user16011,2023-02-21,3
121,user16011,2023-02-22,11
122,user16011,2023-02-23,6
123,user16011,2023-02-26,10
124,user16011,2023-02-27,5
125,user16011,2023-02-28,1
126,user16011,2023-03-01,13
127,user16011,2023-03-02,3
128,user16011,2023-03-03,3
129,user16011,2023-03-06,1
130,user16014,2022-11-03,6
131,user16014,2023-01-12,28
132,user16014,2023-01-13,37
133,user16014,2023-01-16,1
134,user16014,2023-01-18,36
135,user16014,2023-01-30,57
136,user16014,2023-01-31,44
137,user16014,2023-02-01,38
138,user16014,2023-02-02,11
139,user16014,2023-02-08,43
140,user16014,2023-02-09,14
141,user16014,2023-02-14,64
142,user16014,2023-02-15,51
143,user16014,2023-02-16,24
144,user16014,2023-02-20,9
145,user16014,2023-02-21,1
146,user16014,2023-02-22,53
147,user16014,2023-02-23,25
148,user16014,2023-02-26,57
149,user16014,2023-02-27,37
150,user16014,2023-02-28,35
151,user16014,2023-03-01,30
152,user16014,2023-03-02,77
153,user16014,2023-03-06,5
154,user16015,2023-01-12,1
155,user16015,2023-01-13,2
156,user16015,2023-01-30,2
157,user16015,2023-01-31,1
158,user16015,2023-02-01,2
159,user16015,2023-02-02,3
