,User,Month,freq_month
0,user15997,2023-01,48
1,user15997,2023-02,67
2,user15997,2023-03,9
3,user15999,2023-02,20
4,user15999,2023-03,7
5,user16001,2023-01,35
6,user16001,2023-02,84
7,user16001,2023-03,20
8,user16002,2022-11,14
9,user16002,2023-01,20
10,user16002,2023-02,49
11,user16002,2023-03,16
12,user16005,2023-01,12
13,user16005,2023-02,13
14,user16008,2023-02,150
15,user16010,2023-01,23
16,user16010,2023-02,91
17,user16010,2023-03,26
18,user16011,2022-11,2
19,user16011,2023-01,35
20,user16011,2023-02,65
21,user16011,2023-03,20
22,user16014,2022-11,6
23,user16014,2023-01,203
24,user16014,2023-02,462
25,user16014,2023-03,112
26,user16015,2023-01,6
27,user16015,2023-02,19
28,user16015,2023-03,2
29,user16021,2023-01,66
30,user16021,2023-02,36
31,user16021,2023-03,1
32,user16025,2023-01,34
33,user16025,2023-02,43
34,user16028,2023-01,179
35,user16028,2023-02,250
36,user16028,2023-03,35
37,user16029,2023-01,18
38,user16029,2023-02,9
39,user16030,2023-01,24
40,user16030,2023-02,52
41,user16030,2023-03,14
42,user16031,2023-01,30
43,user16031,2023-02,37
44,user16031,2023-03,1
45,user16035,2023-01,9
46,user16035,2023-02,70
47,user16035,2023-03,3
48,user16036,2023-01,6
49,user16036,2023-02,75
50,user16036,2023-03,11
51,user16037,2023-01,26
52,user16037,2023-02,128
53,user16037,2023-03,41
54,user16039,2023-01,89
55,user16039,2023-02,62
56,user16039,2023-03,10
57,user16043,2023-01,5
58,user16043,2023-02,18
59,user16043,2023-03,3
60,user16046,2023-01,62
61,user16046,2023-02,12
62,user16047,2023-01,58
63,user16047,2023-02,166
64,user16047,2023-03,15
65,user16054,2023-01,38
66,user16054,2023-02,100
67,user16054,2023-03,24
68,user16057,2023-01,19
69,user16057,2023-02,95
70,user16057,2023-03,14
71,user16059,2023-01,24
72,user16059,2023-02,51
73,user16061,2023-01,23
74,user16061,2023-02,124
75,user16061,2023-03,8
76,user16062,2023-01,92
77,user16062,2023-02,160
78,user16062,2023-03,38
79,user16065,2023-01,9
80,user16065,2023-02,67
81,user16065,2023-03,27
82,user16066,2023-01,1
83,user16066,2023-02,24
84,user16066,2023-03,4
85,user16069,2023-01,29
86,user16069,2023-02,32
87,user16069,2023-03,14
88,user16071,2023-01,4
89,user16071,2023-02,19
90,user16072,2023-01,119
91,user16072,2023-02,143
92,user16072,2023-03,60
93,user16076,2023-01,56
94,user16076,2023-02,77
95,user16076,2023-03,3
96,user16077,2023-01,203
97,user16077,2023-02,288
98,user16077,2023-03,81
99,user16088,2023-01,38
100,user16088,2023-02,50
101,user16088,2023-03,11
102,user16091,2023-01,127
103,user16091,2023-02,246
104,user16091,2023-03,94
105,user16092,2023-01,4
106,user16092,2023-02,22
107,user16092,2023-03,3
108,user16093,2023-01,82
109,user16093,2023-02,49
110,user16093,2023-03,2
111,user16100,2023-01,44
112,user16100,2023-02,69
113,user16100,2023-03,26
114,user16101,2023-01,58
115,user16101,2023-02,17
116,user16101,2023-03,7
117,user16105,2023-01,70
118,user16105,2023-02,87
119,user16105,2023-03,9
120,user16109,2023-01,12
121,user16109,2023-02,206
122,user16109,2023-03,24
123,user16115,2023-01,6
124,user16115,2023-02,17
125,user16115,2023-03,5
126,user16119,2023-02,95
127,user16120,2023-01,10
128,user16120,2023-02,114
129,user16120,2023-03,3
