,User,Week,freq_week
0,user15997,2023-02,12
1,user15997,2023-03,22
2,user15997,2023-05,22
3,user15997,2023-06,11
4,user15997,2023-07,28
5,user15997,2023-08,11
6,user15997,2023-09,18
7,user15999,2023-05,1
8,user15999,2023-07,5
9,user15999,2023-09,21
10,user16001,2023-02,10
11,user16001,2023-03,21
12,user16001,2023-05,40
13,user16001,2023-06,8
14,user16001,2023-07,26
15,user16001,2023-08,11
16,user16001,2023-09,17
17,user16001,2023-10,6
18,user16002,2022-44,14
19,user16002,2023-02,5
20,user16002,2023-05,16
21,user16002,2023-06,4
22,user16002,2023-07,24
23,user16002,2023-08,16
24,user16002,2023-09,20
25,user16005,2023-02,2
26,user16005,2023-03,4
27,user16005,2023-05,9
28,user16005,2023-07,8
29,user16005,2023-09,2
30,user16008,2023-05,53
31,user16008,2023-07,77
32,user16008,2023-08,4
33,user16008,2023-09,16
34,user16010,2023-02,13
35,user16010,2023-03,3
36,user16010,2023-05,22
37,user16010,2023-06,12
38,user16010,2023-07,20
39,user16010,2023-08,29
40,user16010,2023-09,26
41,user16010,2023-10,15
42,user16011,2022-44,2
43,user16011,2023-02,1
44,user16011,2023-03,4
45,user16011,2023-05,37
46,user16011,2023-06,6
47,user16011,2023-07,16
48,user16011,2023-08,20
49,user16011,2023-09,35
50,user16011,2023-10,1
51,user16014,2022-44,6
52,user16014,2023-02,65
53,user16014,2023-03,37
54,user16014,2023-05,150
55,user16014,2023-06,57
56,user16014,2023-07,139
57,user16014,2023-08,88
58,user16014,2023-09,236
59,user16014,2023-10,5
60,user16015,2023-02,3
61,user16015,2023-05,8
62,user16015,2023-07,5
63,user16015,2023-08,8
64,user16015,2023-09,2
65,user16015,2023-10,1
66,user16021,2023-02,15
67,user16021,2023-03,25
68,user16021,2023-05,33
69,user16021,2023-06,2
70,user16021,2023-07,8
71,user16021,2023-08,8
72,user16021,2023-09,12
73,user16025,2023-05,52
74,user16025,2023-07,25
75,user16028,2023-02,88
76,user16028,2023-03,45
77,user16028,2023-05,94
78,user16028,2023-06,29
79,user16028,2023-07,68
80,user16028,2023-08,60
81,user16028,2023-09,76
82,user16028,2023-10,4
83,user16029,2023-02,6
84,user16029,2023-03,10
85,user16029,2023-05,3
86,user16029,2023-07,1
87,user16029,2023-08,1
88,user16029,2023-09,6
89,user16030,2023-02,10
90,user16030,2023-03,11
91,user16030,2023-05,8
92,user16030,2023-06,4
93,user16030,2023-07,15
94,user16030,2023-08,12
95,user16030,2023-09,30
96,user16031,2023-02,17
