,User,Day,freq_day
0,user28486,2023-03-03,17
1,user28487,2023-03-03,31
2,user28490,2023-03-03,49
3,user28498,2023-03-03,34
4,user28500,2023-03-03,21
5,user28518,2023-03-23,49
6,user28519,2023-03-20,1
7,user28519,2023-03-23,52
8,user28536,2023-03-23,8
9,user28537,2023-03-23,9
10,user28550,2022-02-26,23
11,user28556,2022-02-26,25
12,user28558,2022-02-26,28
13,user28582,2022-02-26,8
14,user28585,2022-02-26,20
15,user28586,2022-02-26,8
16,user28619,2022-02-26,19
17,user28659,2022-02-26,8
18,user28667,2022-02-26,19
19,user28687,2022-02-26,9
20,user28697,2022-02-26,21
21,user28713,2022-02-26,18
22,user28717,2022-02-26,8
23,user28719,2022-02-26,8
24,user28726,2022-02-26,8
25,user28731,2022-02-26,8
26,user28773,2020-08-13,9
27,user28780,2020-08-13,8
28,user28803,2020-08-13,9
29,user28847,2020-08-13,8
30,user28855,2020-08-13,8
31,user28856,2020-08-13,8
32,user28858,2020-08-13,9
33,user28917,2020-08-13,8
34,user29001,2020-08-13,9
35,user29179,2023-03-19,18
36,user29182,2023-03-19,15
37,user29187,2023-03-19,3
38,user29187,2023-03-20,12
39,user29192,2023-03-19,2
40,user29192,2023-03-20,22
41,user29193,2023-03-19,6
42,user29193,2023-03-20,2
43,user29208,2023-03-19,2
44,user29208,2023-03-20,13
45,user29212,2023-03-19,17
46,user29212,2023-03-20,1
47,user29219,2023-03-19,2
48,user29219,2023-03-20,6
49,user29230,2023-03-19,2
50,user29230,2023-03-20,14
51,user29241,2023-03-19,1
52,user29241,2023-03-20,19
53,user29247,2023-03-19,6
54,user29247,2023-03-20,12
55,user29260,2023-03-19,2
56,user29260,2023-03-20,6
57,user29263,2023-03-19,1
58,user29263,2023-03-20,7
59,user29266,2023-03-19,5
60,user29266,2023-03-20,15
61,user29280,2023-03-19,1
62,user29280,2023-03-20,8
63,user29285,2023-03-20,22
64,user29299,2023-03-20,9
65,user29318,2023-03-20,8
66,user29342,2023-03-20,8
67,user29439,2022-06-06,24
