,User,Month,freq_month
0,user10003,2021-04,4
1,user10003,2021-05,37
2,user10003,2021-06,33
3,user10003,2021-07,1
4,user10013,2021-04,62
5,user10013,2021-05,203
6,user10013,2021-06,56
7,user10013,2021-07,14
8,user10013,2021-08,1
9,user10013,2021-10,1
10,user10013,2022-02,12
11,user10013,2022-04,15
12,user10013,2022-05,11
13,user10013,2022-06,32
14,user10017,2021-04,9
15,user10017,2021-05,32
16,user10017,2021-06,10
17,user10017,2021-07,1
18,user10017,2021-08,1
19,user10017,2021-09,1
20,user10017,2021-12,1
21,user10017,2022-01,8
22,user10017,2022-06,1
23,user10017,2022-07,4
24,user10017,2022-09,1
25,user10039,2021-04,101
26,user10039,2021-05,118
27,user10039,2021-06,23
28,user10039,2021-08,1
29,user10039,2021-11,12
30,user10039,2021-12,8
31,user10039,2022-01,3
32,user10039,2022-02,32
33,user10039,2022-03,35
34,user10039,2022-07,18
35,user10039,2022-08,225
36,user10039,2022-09,41
37,user10039,2022-10,7
38,user10039,2022-11,3
39,user10039,2023-01,7
40,user10040,2021-04,6
41,user10040,2021-05,3
42,user10040,2021-06,3
43,user10040,2021-07,4
44,user10040,2021-11,1
45,user10040,2022-02,54
46,user10040,2022-03,9
47,user10040,2022-04,2
48,user10048,2021-04,21
49,user10048,2021-05,48
50,user10048,2021-06,10
51,user10048,2021-07,3
52,user10051,2021-04,14
53,user10051,2021-05,208
54,user10051,2021-06,178
55,user10051,2021-07,194
56,user10051,2021-08,152
57,user10051,2021-09,259
58,user10051,2021-10,194
59,user10051,2021-11,145
60,user10051,2021-12,92
61,user10051,2022-01,113
62,user10051,2022-02,69
63,user10051,2022-03,126
64,user10051,2022-04,113
65,user10051,2022-05,151
66,user10051,2022-06,15
67,user10051,2022-07,35
68,user10051,2022-08,19
69,user10051,2022-09,3
70,user10051,2022-10,3
71,user10051,2022-11,4
72,user10051,2022-12,2
73,user10051,2023-01,4
74,user10079,2021-04,1
75,user10079,2021-07,2
76,user10079,2021-09,15
77,user10079,2021-10,12
78,user10079,2021-11,11
79,user10079,2021-12,14
80,user10079,2022-01,38
81,user10079,2022-04,4
82,user10080,2021-04,47
83,user10080,2021-05,301
84,user10080,2021-06,93
85,user10080,2021-07,32
86,user10080,2021-08,7
87,user10087,2021-04,2
88,user10087,2021-07,2
89,user10087,2021-10,141
90,user10087,2021-11,695
91,user10087,2021-12,40
92,user10087,2022-01,6
93,user10087,2022-02,3
94,user10087,2022-03,1
95,user10087,2022-04,3
96,user10087,2022-06,6
97,user10087,2022-09,1
98,user10087,2022-10,1
99,user10087,2022-11,21
100,user10087,2022-12,1
101,user10091,2021-04,28
102,user10091,2021-05,4
103,user10091,2021-10,17
104,user10091,2021-11,3
105,user10091,2022-08,3
106,user10091,2022-09,5
107,user10095,2021-04,3
108,user10095,2021-05,6
109,user10095,2021-06,19
110,user10095,2021-07,69
111,user10102,2021-04,4
112,user10102,2021-05,76
113,user10112,2021-04,6
114,user10112,2021-05,37
115,user10112,2021-06,1
116,user10112,2021-08,22
117,user10112,2021-09,5
118,user10122,2021-04,6
119,user10122,2021-05,2
120,user10122,2021-06,21
121,user10122,2021-07,22
122,user10122,2021-08,11
123,user10122,2021-09,1
124,user10122,2021-10,3
125,user10134,2021-04,1
126,user10134,2021-07,22
127,user10134,2021-08,25
128,user10134,2021-10,6
129,user10134,2021-11,5
130,user10134,2021-12,2
131,user10134,2022-01,11
132,user10134,2022-02,1
133,user10159,2021-04,11
134,user10159,2021-05,38
135,user10159,2021-06,2
136,user10159,2021-07,7
137,user10159,2022-05,1
138,user10203,2021-05,59
139,user10203,2021-12,6
140,user10203,2022-01,4
141,user10231,2021-05,1
142,user10231,2022-07,97
143,user10231,2022-08,323
144,user10231,2022-09,105
145,user10231,2022-10,81
146,user10231,2022-11,20
147,user10231,2023-02,2
148,user10236,2021-05,45
149,user10236,2021-06,19
150,user10236,2021-07,2
151,user10236,2021-08,3
152,user10236,2021-10,2
153,user10236,2021-11,1
154,user10236,2022-01,1
155,user10236,2022-02,4
156,user10263,2021-05,2
157,user10263,2022-01,3
158,user10263,2022-07,1915
159,user10263,2022-08,2248
160,user10263,2022-09,719
161,user10263,2022-10,95
162,user10263,2022-11,128
163,user10263,2022-12,91
164,user10263,2023-01,15
165,user10268,2021-05,15
166,user10268,2021-06,23
167,user10268,2021-07,2
168,user10268,2021-08,4
169,user10268,2021-09,2
170,user10268,2021-10,3
171,user10268,2021-11,14
172,user10268,2021-12,1
173,user10268,2022-02,1
174,user10268,2022-04,1
175,user10268,2022-05,7
176,user10290,2021-05,56
177,user10290,2021-06,10
178,user10290,2021-07,254
179,user10290,2021-08,676
180,user10290,2021-09,133
181,user10290,2021-10,123
