,User,Week,freq_week
0,user10003,2021-17,4
1,user10003,2021-18,10
2,user10003,2021-19,3
3,user10003,2021-20,23
4,user10003,2021-21,1
5,user10003,2021-22,5
6,user10003,2021-23,5
7,user10003,2021-25,23
8,user10003,2021-30,1
9,user10013,2021-17,91
10,user10013,2021-18,48
11,user10013,2021-19,48
12,user10013,2021-20,52
13,user10013,2021-21,22
14,user10013,2021-22,15
15,user10013,2021-23,13
16,user10013,2021-24,7
17,user10013,2021-25,16
18,user10013,2021-26,16
19,user10013,2021-27,6
20,user10013,2021-30,1
21,user10013,2021-32,1
22,user10013,2021-43,1
23,user10013,2022-07,1
24,user10013,2022-08,11
25,user10013,2022-15,4
26,user10013,2022-16,11
27,user10013,2022-19,7
28,user10013,2022-20,4
29,user10013,2022-24,8
30,user10013,2022-25,22
31,user10013,2022-26,2
32,user10017,2021-17,12
33,user10017,2021-18,15
34,user10017,2021-19,5
35,user10017,2021-21,9
36,user10017,2021-22,6
37,user10017,2021-23,1
38,user10017,2021-25,3
39,user10017,2021-27,1
40,user10017,2021-34,1
41,user10017,2021-38,1
42,user10017,2021-51,1
43,user10017,2022-01,8
44,user10017,2022-26,1
45,user10017,2022-27,2
46,user10017,2022-29,2
47,user10017,2022-37,1
48,user10039,2021-17,112
49,user10039,2021-18,49
50,user10039,2021-19,30
51,user10039,2021-20,13
52,user10039,2021-21,15
53,user10039,2021-22,2
54,user10039,2021-23,16
55,user10039,2021-24,5
56,user10039,2021-32,1
57,user10039,2021-47,5
58,user10039,2021-48,7
59,user10039,2021-50,1
60,user10039,2021-52,7
61,user10039,2022-03,3
62,user10039,2022-05,2
63,user10039,2022-06,30
64,user10039,2022-10,35
65,user10039,2022-30,17
66,user10039,2022-31,35
67,user10039,2022-32,76
68,user10039,2022-33,62
69,user10039,2022-34,48
70,user10039,2022-35,6
71,user10039,2022-36,12
72,user10039,2022-37,2
73,user10039,2022-39,26
74,user10039,2022-40,5
75,user10039,2022-41,2
76,user10039,2022-45,1
77,user10039,2022-46,2
78,user10039,2023-01,7
79,user10040,2021-17,7
80,user10040,2021-18,2
81,user10040,2021-25,3
82,user10040,2021-27,1
83,user10040,2021-29,1
84,user10040,2021-30,2
85,user10040,2021-44,1
86,user10040,2022-05,1
87,user10040,2022-06,44
88,user10040,2022-07,9
89,user10040,2022-09,1
90,user10040,2022-10,1
91,user10040,2022-12,7
92,user10040,2022-14,2
93,user10048,2021-17,25
94,user10048,2021-18,18
95,user10048,2021-19,9
96,user10048,2021-20,16
97,user10048,2021-21,1
98,user10048,2021-22,3
99,user10048,2021-24,2
100,user10048,2021-25,5
101,user10048,2021-26,1
102,user10048,2021-28,1
103,user10048,2021-30,1
104,user10051,2021-17,20
105,user10051,2021-18,60
106,user10051,2021-19,23
107,user10051,2021-20,37
108,user10051,2021-21,70
109,user10051,2021-22,42
110,user10051,2021-23,37
111,user10051,2021-24,61
112,user10051,2021-25,31
113,user10051,2021-26,36
114,user10051,2021-27,57
115,user10051,2021-28,62
116,user10051,2021-29,22
117,user10051,2021-30,36
118,user10051,2021-31,8
119,user10051,2021-32,35
120,user10051,2021-33,36
121,user10051,2021-34,45
122,user10051,2021-35,48
123,user10051,2021-36,47
124,user10051,2021-37,76
125,user10051,2021-38,62
126,user10051,2021-39,59
127,user10051,2021-40,29
128,user10051,2021-41,32
129,user10051,2021-42,95
130,user10051,2021-43,33
131,user10051,2021-44,45
132,user10051,2021-45,19
133,user10051,2021-46,31
134,user10051,2021-47,21
135,user10051,2021-48,66
136,user10051,2021-49,22
137,user10051,2021-50,9
138,user10051,2021-51,15
139,user10051,2021-52,9
140,user10051,2022-01,30
141,user10051,2022-02,41
142,user10051,2022-03,17
143,user10051,2022-04,18
144,user10051,2022-05,20
145,user10051,2022-06,10
146,user10051,2022-07,12
147,user10051,2022-08,23
148,user10051,2022-09,17
149,user10051,2022-10,46
150,user10051,2022-11,45
151,user10051,2022-12,16
152,user10051,2022-13,14
153,user10051,2022-14,6
154,user10051,2022-15,57
155,user10051,2022-16,24
156,user10051,2022-17,25
157,user10051,2022-18,61
158,user10051,2022-19,41
159,user10051,2022-20,27
160,user10051,2022-21,17
161,user10051,2022-22,10
162,user10051,2022-23,4
163,user10051,2022-24,4
164,user10051,2022-25,2
165,user10051,2022-27,4
166,user10051,2022-28,4
167,user10051,2022-29,9
168,user10051,2022-30,15
169,user10051,2022-31,9
170,user10051,2022-32,3
171,user10051,2022-33,7
172,user10051,2022-35,3
173,user10051,2022-36,1
174,user10051,2022-38,2
175,user10051,2022-42,1
176,user10051,2022-43,2
177,user10051,2022-44,1
178,user10051,2022-45,2
179,user10051,2022-48,1
180,user10051,2022-49,1
181,user10051,2022-52,1
182,user10051,2023-02,3
183,user10051,2023-03,1
184,user10079,2021-17,1
185,user10079,2021-29,2
186,user10079,2021-35,1
187,user10079,2021-39,15
188,user10079,2021-40,1
189,user10079,2021-41,1
190,user10079,2021-43,7
191,user10079,2021-44,9
192,user10079,2021-46,4
193,user10079,2021-49,6
194,user10079,2021-50,7
195,user10079,2021-52,1
196,user10079,2022-00,4
197,user10079,2022-01,20
198,user10079,2022-02,4
199,user10079,2022-03,7
200,user10079,2022-04,3
201,user10079,2022-15,3
202,user10079,2022-17,1
203,user10080,2021-17,49
204,user10080,2021-18,118
205,user10080,2021-19,81
206,user10080,2021-20,51
207,user10080,2021-21,41
208,user10080,2021-22,23
209,user10080,2021-23,36
210,user10080,2021-24,22
211,user10080,2021-25,7
212,user10080,2021-26,19
213,user10080,2021-27,10
214,user10080,2021-28,10
215,user10080,2021-29,6
216,user10080,2021-31,3
217,user10080,2021-33,3
218,user10080,2021-34,1
219,user10087,2021-17,2
220,user10087,2021-30,2
221,user10087,2021-43,114
222,user10087,2021-44,187
223,user10087,2021-45,285
224,user10087,2021-46,193
225,user10087,2021-47,52
226,user10087,2021-48,30
227,user10087,2021-49,6
228,user10087,2021-50,3
229,user10087,2021-52,6
230,user10087,2022-01,2
231,user10087,2022-04,4
232,user10087,2022-05,1
233,user10087,2022-06,1
234,user10087,2022-08,1
235,user10087,2022-09,1
236,user10087,2022-14,3
237,user10087,2022-24,6
238,user10087,2022-37,1
239,user10087,2022-42,1
240,user10087,2022-46,16
241,user10087,2022-47,5
242,user10087,2022-52,1
243,user10091,2021-17,29
244,user10091,2021-19,2
245,user10091,2021-21,1
246,user10091,2021-40,6
247,user10091,2021-41,6
248,user10091,2021-42,4
249,user10091,2021-43,1
250,user10091,2021-45,2
251,user10091,2021-46,1
252,user10091,2022-32,3
253,user10091,2022-36,5
254,user10095,2021-17,3
255,user10095,2021-20,1
256,user10095,2021-21,1
257,user10095,2021-22,10
258,user10095,2021-23,13
259,user10095,2021-26,5
260,user10095,2021-27,19
261,user10095,2021-28,39
262,user10095,2021-29,3
263,user10095,2021-30,3
264,user10102,2021-17,6
265,user10102,2021-18,13
266,user10102,2021-19,24
267,user10102,2021-20,9
268,user10102,2021-21,28
269,user10112,2021-17,6
270,user10112,2021-18,18
271,user10112,2021-19,19
272,user10112,2021-22,1
273,user10112,2021-31,6
274,user10112,2021-32,1
275,user10112,2021-33,9
276,user10112,2021-34,5
277,user10112,2021-35,3
278,user10112,2021-36,1
279,user10112,2021-37,2
280,user10122,2021-17,7
281,user10122,2021-18,1
282,user10122,2021-24,15
283,user10122,2021-25,5
284,user10122,2021-26,1
285,user10122,2021-27,5
286,user10122,2021-28,1
287,user10122,2021-29,1
288,user10122,2021-30,15
289,user10122,2021-32,11
290,user10122,2021-35,1
291,user10122,2021-41,3
292,user10134,2021-17,1
293,user10134,2021-26,8
294,user10134,2021-28,13
295,user10134,2021-30,1
296,user10134,2021-32,17
297,user10134,2021-33,6
298,user10134,2021-35,2
299,user10134,2021-43,6
300,user10134,2021-45,4
301,user10134,2021-48,1
302,user10134,2021-52,2
303,user10134,2022-02,11
304,user10134,2022-06,1
305,user10159,2021-17,23
306,user10159,2021-18,15
307,user10159,2021-19,11
308,user10159,2021-23,2
309,user10159,2021-29,6
310,user10159,2021-30,1
311,user10159,2022-19,1
312,user10203,2021-17,5
313,user10203,2021-18,49
314,user10203,2021-19,5
315,user10203,2021-49,4
316,user10203,2021-51,1
317,user10203,2021-52,1
318,user10203,2022-02,4
319,user10231,2021-18,1
320,user10231,2022-29,23
321,user10231,2022-30,74
322,user10231,2022-31,78
323,user10231,2022-32,100
324,user10231,2022-33,50
325,user10231,2022-34,76
326,user10231,2022-35,41
327,user10231,2022-36,1
328,user10231,2022-37,24
329,user10231,2022-38,28
330,user10231,2022-39,32
331,user10231,2022-40,16
332,user10231,2022-41,9
333,user10231,2022-42,16
334,user10231,2022-43,37
335,user10231,2022-44,11
336,user10231,2022-45,10
337,user10231,2023-05,2
338,user10236,2021-18,12
339,user10236,2021-19,20
340,user10236,2021-20,13
341,user10236,2021-22,1
342,user10236,2021-23,8
343,user10236,2021-25,10
344,user10236,2021-27,1
345,user10236,2021-28,1
346,user10236,2021-31,2
347,user10236,2021-32,1
348,user10236,2021-40,1
349,user10236,2021-42,1
350,user10236,2021-48,1
351,user10236,2022-05,1
352,user10236,2022-06,4
353,user10263,2021-18,1
354,user10263,2021-19,1
355,user10263,2022-01,1
356,user10263,2022-03,2
357,user10263,2022-27,7
358,user10263,2022-28,873
359,user10263,2022-29,510
360,user10263,2022-30,463
361,user10263,2022-31,469
362,user10263,2022-32,527
363,user10263,2022-33,569
364,user10263,2022-34,521
365,user10263,2022-35,370
366,user10263,2022-36,439
367,user10263,2022-37,101
368,user10263,2022-38,11
369,user10263,2022-39,28
370,user10263,2022-40,23
371,user10263,2022-41,13
372,user10263,2022-42,15
373,user10263,2022-43,33
374,user10263,2022-44,57
375,user10263,2022-45,6
376,user10263,2022-46,41
377,user10263,2022-47,17
378,user10263,2022-48,12
379,user10263,2022-50,39
380,user10263,2022-51,31
381,user10263,2022-52,21
382,user10263,2023-02,13
383,user10263,2023-03,2
384,user10268,2021-18,12
385,user10268,2021-20,1
386,user10268,2021-22,2
387,user10268,2021-23,6
388,user10268,2021-24,13
389,user10268,2021-25,2
390,user10268,2021-26,2
391,user10268,2021-30,2
392,user10268,2021-32,4
393,user10268,2021-35,2
394,user10268,2021-42,3
395,user10268,2021-44,1
396,user10268,2021-45,8
397,user10268,2021-47,5
398,user10268,2021-51,1
399,user10268,2022-09,1
400,user10268,2022-17,1
401,user10268,2022-19,2
402,user10268,2022-22,5
403,user10290,2021-18,17
404,user10290,2021-19,23
405,user10290,2021-20,2
406,user10290,2021-21,12
407,user10290,2021-22,9
408,user10290,2021-25,3
409,user10290,2021-27,1
410,user10290,2021-28,4
411,user10290,2021-29,50
412,user10290,2021-30,199
413,user10290,2021-31,160
414,user10290,2021-32,179
415,user10290,2021-33,131
416,user10290,2021-34,166
417,user10290,2021-35,76
418,user10290,2021-36,32
419,user10290,2021-37,29
420,user10290,2021-38,30
421,user10290,2021-39,11
422,user10290,2021-40,25
423,user10290,2021-41,21
424,user10290,2021-42,29
425,user10290,2021-43,32
426,user10290,2021-44,38
427,user10290,2021-45,23
428,user10290,2021-46,10
429,user10290,2021-47,10
430,user10290,2021-48,15
431,user10290,2021-49,6
432,user10290,2021-50,7
433,user10290,2021-51,11
434,user10290,2021-52,24
435,user10290,2022-01,3
436,user10290,2022-03,5
437,user10290,2022-04,2
438,user10290,2022-05,3
439,user10290,2022-06,14
440,user10290,2022-07,2
441,user10290,2022-08,1
442,user10290,2022-10,1
443,user10290,2022-11,2
444,user10290,2022-17,3
445,user10290,2022-18,1
446,user10290,2022-19,10
447,user10290,2022-24,2
448,user10290,2022-32,6
449,user10290,2022-44,1
450,user10290,2022-45,6
451,user10290,2022-46,6
452,user10290,2022-47,2
453,user10290,2023-04,1
454,user10317,2021-18,10
455,user10317,2021-21,10
456,user10317,2021-23,1
457,user10317,2021-24,40
458,user10319,2021-18,13
459,user10319,2021-19,26
460,user10319,2021-20,28
461,user10319,2021-21,68
462,user10319,2021-22,30
463,user10319,2021-23,38
464,user10319,2021-24,45
465,user10319,2021-25,36
466,user10319,2021-26,13
467,user10319,2021-27,67
468,user10319,2021-28,38
469,user10319,2021-29,27
470,user10319,2021-30,177
471,user10319,2021-31,190
472,user10319,2021-32,228
473,user10319,2021-33,159
474,user10319,2021-34,93
475,user10319,2021-35,90
476,user10319,2021-36,117
477,user10319,2021-37,129
478,user10319,2021-38,28
479,user10319,2021-39,94
480,user10319,2021-40,54
481,user10319,2021-41,37
482,user10319,2021-42,39
483,user10319,2021-44,1
484,user10319,2021-45,2
485,user10319,2021-47,1
486,user10319,2021-48,5
487,user10319,2021-50,3
488,user10319,2022-05,1
489,user10319,2022-19,1
490,user10338,2021-18,184
491,user10338,2021-19,113
492,user10338,2021-20,8
493,user10338,2021-21,1
494,user10338,2021-22,14
495,user10338,2021-23,36
496,user10338,2021-24,23
497,user10338,2021-25,3
498,user10338,2021-26,6
499,user10338,2021-27,4
500,user10338,2021-28,1
501,user10338,2021-30,5
502,user10338,2021-32,2
503,user10338,2021-33,1
504,user10338,2021-34,3
505,user10338,2021-35,10
506,user10338,2021-38,1
507,user10338,2021-39,1
508,user10338,2021-41,2
509,user10338,2021-43,1
510,user10338,2021-49,2
511,user10338,2022-03,1
512,user10338,2022-05,1
513,user10338,2022-07,3
514,user10338,2022-08,5
515,user10338,2022-09,1
516,user10338,2022-15,6
517,user10338,2022-16,1
518,user10338,2022-18,2
519,user10338,2022-20,1
520,user10338,2022-21,1
521,user10343,2021-18,238
522,user10343,2021-19,347
